epoch,accuracy,loss,val_accuracy,val_loss
0,0.3700525760650635,1.3241071701049805,0.4812680184841156,1.2491108179092407
1,0.6919457316398621,0.9090263843536377,0.6829971075057983,0.8136942386627197
2,0.8140049576759338,0.51617431640625,0.6974063515663147,0.7666611075401306
3,0.8665928840637207,0.3736959397792816,0.7060518860816956,0.7233299016952515
4,0.8959313631057739,0.3008314371109009,0.7146974205970764,0.7926121950149536
5,0.9136451482772827,0.25070720911026,0.7146974205970764,0.7750113010406494
6,0.9321893453598022,0.20620876550674438,0.7089337110519409,0.8392195105552673
7,0.9443675875663757,0.1774291843175888,0.6772334575653076,0.9070935845375061
8,0.951287031173706,0.15627945959568024,0.7118155360221863,0.918086588382721
9,0.9587600231170654,0.136071115732193,0.7031700015068054,0.9717498421669006
10,0.9593135714530945,0.12092417478561401,0.6945244669914246,0.9979334473609924
11,0.9678937196731567,0.10761262476444244,0.6887608170509338,1.056077241897583
12,0.9690008163452148,0.0966445654630661,0.6945244669914246,1.0866925716400146
13,0.9690008163452148,0.09112351387739182,0.7089337110519409,1.091346263885498
14,0.9695543646812439,0.08861175924539566,0.6916426420211792,1.175563097000122
15,0.9725989699363708,0.08084812015295029,0.6829971075057983,1.220260500907898
16,0.9739828109741211,0.07671931385993958,0.6974063515663147,1.2072843313217163
17,0.971491813659668,0.07704305648803711,0.6974063515663147,1.2827036380767822
18,0.9723221659660339,0.07164730131626129,0.6887608170509338,1.3015050888061523
19,0.9745364189147949,0.06580105423927307,0.7002881765365601,1.3407671451568604
20,0.9712150692939758,0.06794217228889465,0.680115282535553,1.385337233543396
21,0.9739828109741211,0.06575667858123779,0.680115282535553,1.4077391624450684
22,0.972875714302063,0.06655248254537582,0.7002881765365601,1.387909173965454
23,0.974259614944458,0.06264088302850723,0.6743515729904175,1.41862154006958
24,0.9759202599525452,0.05801968649029732,0.680115282535553,1.4435011148452759
